@relation x3

@attribute x numeric
@attribute y numeric
@attribute class {1,2}

@data
2.18,3.1,1
0.379,5.31,1
3.68,1.62,1
2.46,2.78,1
1.74,3.83,1
1.17,5.52,1
1.81,3.25,1
3.51,1.84,1
1.86,2.4,1
2.42,1.53,1
3.01,3.57,1
1.02,4.51,1
3.77,0.229,1
-0.0378,5.11,1
1.43,4.04,1
3.15,2.68,1
3.82,2.11,1
3.68,0.632,1
1.97,2.89,1
-0.269,5.03,1
0.506,5.4,1
0.861,4.36,1
2.31,1.97,1
-1.07,5.41,1
0.571,4.66,1
2.72,3.86,1
2.84,1.78,1
2.54,1.71,1
1.97,2.98,1
2,2.73,1
3.55,0.171,1
2.61,3.28,1
3.03,2.66,1
2.06,3.53,1
2.8,2.14,1
1.47,3.18,1
-0.0862,4.47,1
2.17,3.13,1
4.04,1.07,1
2.88,2.97,1
3.33,1.09,1
2.3,2.96,1
0.575,3.51,1
3.53,1.66,1
2.55,2.63,1
1.1,3.24,1
2.63,1.69,1
3.1,2.6,1
0.838,3.7,1
0.32,2.48,1
3.39,1.44,1
2.46,2.83,1
2.03,2.12,1
0.661,3.75,1
0.323,3.45,1
4.08,1.38,1
0.278,4.34,1
0.404,3.13,1
1.63,4.1,1
2.18,3.41,1
0.348,3.93,1
1.63,2.27,1
0.134,5.28,1
2.02,2.44,1
3.14,2.28,1
0.6,5.26,1
2.41,3.93,1
3.61,1.13,1
0.173,4.4,1
1.53,2.66,1
2.7,3.7,1
1.23,2.9,1
1.65,3.84,1
0.792,2.95,1
1.83,3.08,1
2.69,1.95,1
1.79,2.8,1
1.89,4.39,1
1.14,2.54,1
2.66,1.7,1
2.05,2.43,1
2.76,2.86,1
1.71,1.49,1
2.19,4.2,1
3.44,0.507,1
1.89,2.51,1
0.551,3.11,1
2.41,2.31,1
2.08,2.62,1
1.34,3.84,1
3.03,3.97,1
0.0805,3.67,1
3.47,1.5,1
0.0466,4.83,1
4.2,1.84,1
4.77,1.21,1
4.64,0.602,1
0.388,4.11,1
3.68,0.706,1
2.9,1.77,1
2.78,1.44,1
2.12,1.2,1
1.3,3.95,1
1.55,4.41,1
1.11,1.74,1
0.258,5.29,1
1.84,3.45,1
3.34,0.133,1
1.09,3.13,1
0.56,4,1
4.15,1.25,1
3.74,1.02,1
2.01,2.33,1
2.83,2.12,1
2.68,3.02,1
1.89,3.84,1
5.27,0.833,1
1.98,3.79,1
2.08,2,1
2.69,2.45,1
1.61,4.4,1
4.64,0.448,1
2.15,2.2,1
2.96,0.224,1
3.4,2.07,1
2.37,3.73,1
1.61,3.2,1
0.203,3.03,1
1.01,4.03,1
1.23,2.48,1
3.52,1.18,1
1.98,3.01,1
1.65,3.62,1
1.63,1.89,1
0.545,4.37,1
0.223,4.13,1
0.669,3.07,1
0.556,3.81,1
2.25,2.7,1
3.5,1.59,1
-0.146,4.73,1
2.1,3.19,1
2.71,3.52,1
1.23,3.84,1
1.98,2.52,1
5.02,0.364,1
0.00663,6.1,1
2.46,1.68,1
2.88,3.38,1
0.733,4.13,1
1.8,2.17,1
3.67,1.65,1
2.76,1.79,1
1.07,4.01,1
2.15,4.45,1
1.61,5.19,1
4.13,-0.357,1
-0.377,4.41,1
1.74,3.22,1
3.18,1.44,1
0.98,3.65,1
1.97,3.26,1
3.5,2.33,1
-0.476,5.57,1
3.15,2.62,1
3.85,1.8,1
1.05,3.63,1
-1.46,6.17,1
2.17,2.37,1
1.07,2.82,1
1.93,3.38,1
1.53,2.95,1
1.95,2.89,1
0.646,5.18,1
2.62,3.59,1
1.3,2.61,1
3.14,2.12,1
0.931,3.78,1
-0.841,6.19,1
0.612,3.53,1
3.89,0.713,1
1.42,3.04,1
4.29,1.24,1
0.471,3.27,1
4.45,2.68,1
4.31,0.0844,1
1.7,3.07,1
2.43,2.17,1
0.617,3.73,1
3.53,3.79,1
2.32,2.51,1
2.99,1.79,1
4.63,1.83,1
0.264,3.82,1
3.9,1.81,1
2.56,1.11,1
2.32,3.32,1
1.1,2.87,1
1.74,2.32,1
1.9,3.32,1
3.94,1.6,1
1.23,5,1
3.17,2.26,1
2.95,1.81,1
3.21,2.26,1
2.88,1.4,1
4.17,1.63,1
-0.711,5.57,1
3.8,2.1,1
3.95,2.56,1
0.714,2.07,1
4.53,1.31,1
2.03,2.63,1
-0.171,4.92,1
0.0562,3.84,1
1.7,3.88,1
2.53,1.43,1
4.1,1.35,1
4.65,-0.142,1
0.893,3.23,1
1.85,2.29,1
0.637,2.07,1
0.815,4.17,1
1.74,3.07,1
1.83,3.28,1
1.29,2.97,1
2.72,2.07,1
2.32,1.93,1
1.79,3.8,1
0.741,4.13,1
1.67,3.2,1
1.49,1.64,1
1.8,4.34,1
2.92,1.94,1
1.06,3.96,1
1.46,2.99,1
2.08,4,1
-1.56,6.35,1
0.574,4.94,1
-1.43,5.55,1
2.08,2.57,1
1.71,1.95,1
0.407,3.58,1
2.52,2.09,1
4.17,1.38,1
-0.634,4.72,1
1.08,3.83,1
1.69,3.01,1
0.962,3.78,1
-0.0421,5.15,1
0.128,3.94,1
1.79,3.38,1
1.89,4.56,1
4.29,1.7,1
2.13,2.21,1
1.35,2.33,1
1.47,3.02,1
4.48,1.66,1
2.09,2.68,1
2.12,3.56,1
5.16,0.747,1
3.22,2.6,1
2.78,3.22,1
3.78,1.61,1
1.56,3.55,1
3.41,2.9,1
1.23,4.39,1
1.76,2.91,1
2.77,3.18,1
1.19,2.37,1
1.93,3.53,1
2.12,4.24,1
1.53,4.05,1
0.89,2.82,1
